"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R6,R5";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal_centered";2;"2M2";;;
2;"H2,H1";"MountingHole_3.5mm_Pad_Via";2;"MountingHole";;;
3;"U2,U1";"DIP-8_W7.62mm_centered";2;"LM4562";;;
4;"R10,R9,R8,R7";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal_centered";4;"47K";;;
5;"R4,R3,R2,R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal_centered";4;"100R";;;
6;"J2";"Jack_XLR_Neutrik_NC3FAAH2_Horizontal_centered";1;"CH2_XLR";;;
7;"J1";"Jack_XLR_Neutrik_NC3FAAH2_Horizontal_centered";1;"CH1_XLR";;;
8;"D4,D3,D2,D1";"D_DO-15_P12.70mm_Horizontal_centered_TVS";4;"P6KE6.8";;;
9;"C8,C7,C6,C5";"C_Disc_D3.8mm_W2.6mm_P2.50mm_centered";4;"220p";;;
10;"C4,C3,C2,C1";"C_Disc_D3.8mm_W2.6mm_P2.50mm_centered";4;"100n";;;
11;"J5";"TerminalBlock_ Amphenol_01_03_P3.50mm";1;"CH2_OUT";;;
12;"J4";"TerminalBlock_ Amphenol_01_03_P3.50mm";1;"CH1_OUT";;;
13;"J3";"TerminalBlock_ Amphenol_01_03_P3.50mm";1;"POWER";;;
